best,mean
0,36.78
0,34.58
0,35.5
0,34.42
0,35.5
0,35.98
0,35.98
0,35.58
0,36.4
0,36.68
0,36.3
0,36.8
0,36.32
0,35.88
0,37.1
0,36.84
0,34.98
0,35.92
0,34.22
0,36.3
0,36.62
0,35.88
0,36.06
0,36.14
0,35.48
0,36.42
0,36.0
0,35.76
0,35.72
0,35.18
0,35.08
0,37.28
0,36.6
0,37.1
0,36.5
0,37.4
0,36.78
0,34.38
0,35.66
0,36.92
0,36.42
0,35.02
0,35.46
0,36.1
0,37.24
0,35.5
0,35.72
0,35.78
0,35.9
0,33.58
0,36.22
0,35.16
0,34.66
0,36.78
0,35.7
0,36.28
0,36.04
0,37.36
0,36.62
0,35.34
0,35.52
0,35.42
0,35.8
0,35.52
0,36.6
0,33.66
0,35.52
0,36.12
0,35.68
0,34.92
0,34.64
0,34.68
0,36.38
0,35.94
0,35.72
0,37.38
0,35.16
0,37.24
0,36.74
0,35.62
0,36.08
0,36.2
0,37.04
0,35.5
0,34.72
0,36.62
0,36.22
0,35.64
0,35.06
0,36.04
0,36.42
0,36.62
0,37.58
0,35.78
0,34.82
0,37.3
0,37.72
0,36.58
0,36.18
0,36.16
0,35.3
0,34.6
0,35.3
0,33.8
0,34.36
0,37.26
0,34.42
0,36.2
0,36.3
0,36.02
0,36.74
0,36.44
0,35.56
0,36.06
0,34.82
0,35.36
0,38.14
0,37.42
0,35.54
0,36.88
0,37.44
0,35.72
0,36.74
0,36.6
0,37.42
0,36.78
0,36.4
0,36.0
0,35.94
0,35.0
0,35.42
0,35.46
0,36.98
0,36.72
0,35.74
0,34.9
0,37.04
0,37.26
0,36.0
0,36.92
0,35.1
0,36.2
0,34.98
0,35.86
0,36.56
0,36.36
0,35.5
0,36.4
0,36.68
0,34.5
0,36.46
0,36.04
0,36.14
0,36.54
0,35.32
0,37.3
0,36.34
0,36.18
0,36.42
0,35.42
0,36.56
0,36.06
0,36.36
0,35.16
0,35.48
0,35.26
0,36.36
0,35.54
0,36.06
0,36.22
0,36.02
0,35.58
0,36.68
0,35.62
0,36.0
0,36.4
0,36.8
0,36.16
0,37.1
0,36.88
0,36.42
0,34.68
0,36.7
0,36.34
0,35.28
0,36.34
0,36.7
0,36.42
0,36.44
0,37.32
0,35.06
0,35.56
0,35.72
0,35.54
0,35.0
0,36.74
0,37.62
0,36.3
0,36.5
0,36.24
0,36.26
0,36.26
0,34.72
0,36.76
0,35.96
0,34.62
0,35.36
0,36.0
0,35.84
0,35.12
0,35.4
0,35.74
0,36.48
0,37.52
0,34.84
0,36.56
0,35.58
0,35.64
0,36.14
0,36.0
0,35.96
0,36.22
0,35.38
0,35.26
0,37.08
0,35.64
0,36.12
0,36.26
0,36.8
0,36.38
0,35.62
0,34.98
0,35.66
0,36.38
0,36.5
0,36.5
0,38.64
0,35.46
0,36.88
0,35.18
0,37.68
0,36.96
0,35.8
0,36.14
0,35.36
0,37.1
0,36.36
0,37.42
0,36.52
0,36.84
0,36.24
0,35.84
0,34.94
0,36.88
0,34.72
0,36.06
0,37.5
0,37.02
0,36.26
0,35.96
0,37.28
0,36.84
0,36.36
0,35.38
0,36.9
0,36.26
0,36.48
0,36.34
0,36.7
0,35.6
0,36.7
0,36.12
0,36.76
0,35.74
0,36.02
0,35.84
0,33.88
0,35.92
0,33.78
0,35.96
0,35.68
0,36.78
0,35.28
0,37.46
0,36.08
0,35.3
0,36.28
0,38.2
0,35.4
0,35.22
0,36.1
0,35.96
0,35.86
0,35.8
0,37.56
0,36.18
0,37.02
0,35.64
0,35.42
0,36.24
0,35.48
0,36.6
0,35.94
0,37.34
0,37.42
0,35.54
0,36.0
0,37.1
0,34.42
0,37.58
0,35.02
0,37.08
0,35.62
0,36.34
0,36.02
0,35.78
0,37.66
0,36.7
0,36.12
0,35.94
0,35.12
0,35.92
0,35.72
0,35.5
0,36.0
0,36.88
0,37.14
0,36.74
0,36.68
0,35.9
0,36.28
0,36.5
0,35.52
0,33.92
0,35.84
0,37.04
0,37.36
0,34.92
0,35.52
0,36.36
0,36.78
0,36.56
0,35.94
0,36.06
0,35.76
0,35.54
0,36.36
0,36.7
0,36.14
0,36.28
0,34.98
0,37.6
0,37.82
0,35.12
0,35.56
0,36.82
0,35.68
0,37.04
0,34.74
0,35.88
0,36.2
0,35.24
0,34.28
0,36.12
0,34.58
0,37.76
0,35.92
0,35.58
0,35.9
0,36.42
0,36.0
0,36.3
0,36.9
0,34.8
0,35.34
0,35.86
0,36.34
0,35.36
0,36.2
0,35.2
0,35.36
0,35.6
0,36.16
0,36.9
0,37.48
0,35.1
0,35.92
0,36.64
0,34.86
0,35.86
0,35.7
0,35.86
0,35.72
0,36.06
0,34.82
0,36.52
0,37.12
0,35.22
0,36.22
0,36.5
0,36.44
0,36.88
0,35.84
0,35.48
0,37.84
0,34.3
0,36.94
0,35.26
0,36.12
0,35.54
0,36.36
0,36.22
0,35.14
0,35.18
0,36.32
0,36.96
0,36.18
0,35.34
0,35.36
0,36.26
0,35.46
0,35.88
0,36.5
0,35.34
0,35.9
0,35.98
0,35.34
0,36.22
0,35.06
0,36.58
0,34.3
0,34.74
0,37.46
0,35.2
0,36.86
0,35.36
0,35.5
0,34.18
0,35.64
0,35.92
0,36.52
0,36.04
0,34.76
0,36.92
0,36.26
0,36.2
0,35.52
0,35.34
0,34.9
0,36.74
0,36.22
0,35.36
0,36.76
0,37.68
0,37.56
0,35.66
0,35.96
0,36.02
0,36.72
0,35.38
0,35.84
0,36.1
0,35.52
0,35.46
0,35.98
0,35.7
0,34.58
0,34.7
0,35.04
0,35.56
0,36.0
0,35.62
0,36.9
0,35.06
0,36.48
0,36.2
0,35.02
0,34.66
0,37.48
0,35.68
0,35.8
0,36.14
0,35.42
0,36.8
0,36.24
0,34.6
0,36.14
0,36.2
0,35.78
0,37.62
0,36.08
0,35.34
0,36.3
0,35.38
0,35.7
0,35.56
0,35.4
0,36.88
0,35.04
0,36.1
0,37.84
0,37.54
0,35.06
0,37.2
0,36.18
0,37.32
0,36.68
0,35.72
0,36.66
0,35.34
0,36.38
0,36.56
0,36.96
0,37.14
0,35.84
0,36.2
0,35.46
0,36.58
0,35.52
0,35.48
0,35.88
0,36.24
0,35.8
0,35.68
0,35.34
0,37.16
0,35.48
0,36.6
0,35.52
0,36.96
0,35.16
0,36.66
0,36.0
0,35.02
0,36.56
0,35.6
0,35.24
0,34.56
0,35.34
0,35.68
0,36.46
0,36.34
0,35.86
0,35.4
0,35.2
0,35.54
0,36.64
0,35.3
0,36.42
0,35.76
0,37.3
0,35.7
0,36.14
0,35.5
0,35.4
0,35.48
0,35.36
0,35.2
0,36.72
0,36.7
0,37.82
0,34.6
0,36.2
0,36.04
0,34.88
0,36.38
0,38.4
0,35.06
0,36.26
0,36.3
0,35.38
0,35.18
0,34.78
0,36.6
0,36.28
0,36.86
0,36.66
0,36.04
0,36.78
0,36.56
0,35.04
0,36.02
0,35.96
0,36.54
0,36.36
0,34.56
0,36.98
0,35.6
0,34.94
0,35.8
0,36.24
0,37.64
0,35.48
0,37.04
0,36.54
0,34.94
0,36.8
0,36.86
0,34.96
0,36.2
0,34.76
0,34.88
0,36.46
0,34.84
0,36.02
0,37.02
0,36.58
0,35.12
0,34.68
0,35.66
0,36.64
0,35.32
0,36.36
0,34.58
0,36.38
0,34.76
0,36.58
0,35.76
0,35.5
0,35.98
0,35.68
0,35.9
0,35.68
0,37.54
0,36.42
0,35.02
0,35.12
0,35.36
0,36.84
0,35.58
0,35.94
0,35.04
0,35.9
0,36.68
0,37.26
0,35.18
0,36.4
0,36.04
0,37.26
0,37.26
0,36.66
0,34.18
0,36.24
0,36.18
0,35.4
0,36.48
0,35.82
0,35.94
0,34.86
0,36.88
0,35.94
0,35.04
0,36.1
0,35.48
0,34.72
0,36.86
0,36.62
0,36.06
0,36.14
0,35.56
0,37.24
0,36.24
0,36.7
0,36.74
0,36.1
0,36.4
0,35.62
0,34.94
0,36.04
0,37.2
0,36.12
0,35.66
0,35.5
0,36.6
0,37.18
0,36.56
0,37.06
0,37.1
0,35.62
0,36.7
0,37.08
0,36.3
0,36.18
0,37.8
0,35.36
0,35.18
0,36.0
0,36.04
0,36.88
0,33.66
0,36.6
0,34.28
0,36.0
0,35.7
0,35.78
0,36.68
0,36.08
0,36.18
0,36.34
0,35.0
0,36.34
0,36.66
0,34.6
0,37.6
0,35.78
0,37.3
0,34.12
0,35.32
0,34.72
0,36.24
0,36.54
0,36.74
0,36.58
0,35.96
0,36.04
0,36.16
0,36.94
0,35.8
0,36.58
0,35.12
0,36.28
0,36.12
0,36.56
0,34.06
0,36.02
0,36.1
0,36.56
0,37.52
0,34.96
0,36.26
0,35.7
0,35.94
0,36.34
0,37.12
0,35.74
0,35.66
0,35.68
0,38.42
0,34.92
0,36.4
0,36.64
0,36.48
0,35.5
0,37.14
0,36.14
0,35.0
0,36.92
0,36.62
0,36.08
0,35.7
0,35.84
0,36.04
0,35.98
0,35.2
0,35.8
0,35.24
0,36.68
0,35.86
0,34.88
0,34.9
0,37.24
0,37.24
0,35.42
0,36.94
0,34.38
0,36.98
0,35.5
0,35.26
0,36.46
0,35.6
0,36.14
0,34.5
0,35.82
0,36.02
0,35.6
0,36.52
0,34.68
0,37.04
0,35.8
0,36.34
0,39.2
0,36.36
0,36.42
0,36.12
0,35.3
0,35.4
0,37.02
0,36.54
0,35.32
0,36.54
0,36.32
0,35.46
0,35.86
0,36.56
0,35.98
0,36.46
0,35.42
0,36.46
0,36.54
0,35.84
0,35.4
0,35.44
0,37.56
0,35.06
0,35.54
0,36.9
0,35.62
0,35.66
0,35.58
0,35.34
0,36.96
0,34.84
0,36.34
0,35.8
0,35.38
0,36.58
0,35.34
0,37.1
0,36.38
0,37.04
0,37.26
0,35.38
0,36.34
0,35.18
0,35.48
0,36.24
0,36.08
0,35.74
0,36.4
0,36.78
0,36.66
0,35.86
0,34.34
0,36.72
0,36.2
0,36.54
0,36.56
0,36.28
0,35.62
0,36.3
0,35.88
0,34.68
0,35.94
0,35.4
0,36.32
0,35.88
0,35.34
0,36.58
0,36.7
0,36.42
0,35.32
0,35.96
0,35.5
0,36.98
0,35.68
0,37.24
0,35.44
0,36.48
0,37.26
0,35.74
0,34.82
0,37.82
0,35.92
0,36.22
0,36.2
0,37.56
0,36.62
0,36.34
0,35.36
0,36.7
0,35.88
0,36.72
0,36.02
0,35.7
0,35.5
0,36.06
0,36.84
0,36.42
0,36.56
0,35.84
0,37.3
0,37.22
0,37.18
0,35.84
0,36.2
0,36.02
0,35.02
0,35.88
0,35.58
0,35.4
0,35.58
0,35.7
0,36.92
0,35.0
0,35.32
0,35.4
0,35.62
0,33.88
0,35.92
0,36.22
0,35.5
0,35.9
0,35.88
0,35.0
0,37.06
0,36.66
0,36.94
0,36.16
0,36.5
0,34.86
0,35.8
0,37.3
0,35.58
0,35.36
0,36.5
0,36.42
0,36.46
0,35.58
0,36.22
0,35.0
0,37.54
0,35.58
0,36.18
0,36.22
0,37.34
0,36.66
0,36.66
0,36.2
0,35.72
0,35.78
0,35.92
0,36.42
0,37.1
0,36.3
0,36.26
0,36.1
0,36.94
0,36.34
0,35.36
0,35.1
0,36.3
0,37.14
0,35.36
0,36.22
0,36.22
0,35.52
0,34.92
0,35.88
0,35.2
0,36.1
0,37.58
0,37.66
0,36.38
0,35.38
0,35.56
0,35.3
0,37.8
0,35.2
0,35.62
0,35.82
0,35.62
0,36.68
0,36.3
0,34.84
0,35.42
0,36.46
0,36.3
0,37.36
0,37.76
0,37.82
0,35.4
0,38.32
0,36.64
0,36.76
0,35.94
0,36.04
0,34.42
0,36.5
0,36.24
0,35.34
0,36.24
0,36.8
0,36.08
0,34.64
0,36.58
0,36.4
0,35.78
0,36.1
0,36.0
0,34.86
0,35.3
0,35.72
0,36.62
0,35.16
0,37.08
0,35.94
0,37.74
0,36.3
0,34.46
0,36.8
0,36.84
0,35.36
0,35.06
0,37.24
0,35.0
0,36.68
0,36.22
0,36.42
0,35.38
0,36.18
0,37.3
0,36.34
0,35.78
0,35.5
0,36.32
0,34.28
0,35.96
0,36.96
0,33.88
0,36.7
0,35.26
0,36.18
0,35.52
0,35.72
0,34.88
0,35.64
0,34.66
0,35.38
0,36.66
0,38.06
0,37.28
0,36.32
0,35.78
0,35.68
0,35.34
0,35.1
0,36.34
0,36.66
0,35.72
0,35.54
0,35.6
0,35.38
0,34.62
0,34.58
0,36.7
0,35.88
0,34.92
0,36.76
0,35.24
0,37.28
0,35.92
0,34.56
0,35.86
0,36.0
0,36.6
0,36.0
0,35.7
0,36.76
0,37.38
0,36.44
0,36.5
0,35.32
0,35.9
0,35.38
0,36.22
0,36.18
0,35.36
0,35.82
0,35.76
0,36.94
0,35.72
0,34.78
0,37.16
0,35.26
0,34.96
0,35.5
0,36.86
0,35.06
0,35.64
0,35.46
0,36.84
0,34.54
0,36.82
0,35.42
0,35.42
0,34.66
0,33.74
0,36.08
0,37.24
0,36.92
0,36.48
0,36.56
0,34.84
0,34.92
0,36.44
0,35.52
0,35.14
0,36.76
0,36.12
0,35.46
0,35.82
0,37.44
0,36.16
0,35.9
0,35.12
0,37.38
0,35.84
0,36.16
0,37.38
0,35.48
0,35.34
0,35.8
0,37.06
0,35.66
0,37.5
0,36.22
0,35.18
0,35.36
0,36.48
0,35.68
0,36.9
0,36.46
0,35.34
0,36.38
0,38.1
0,35.98
0,35.54
0,36.06
0,35.36
0,36.18
0,36.94
0,37.04
0,36.42
0,34.38
0,35.24
0,36.44
0,35.08
0,35.1
0,35.98
0,36.88
0,35.92
0,36.22
0,37.4
0,36.72
0,37.92
0,35.62
0,35.02
0,35.96
0,36.1
0,35.88
0,35.32
0,35.84
0,34.66
0,35.32
0,35.74
0,36.06
0,36.44
0,36.54
0,35.76
0,36.84
0,34.7
0,35.58
0,35.62
0,35.52
0,34.44
0,35.5
0,36.9
0,35.94
0,36.74
0,36.16
0,35.94
0,35.36
0,36.0
0,36.62
0,35.88
0,34.96
0,36.12
0,35.28
0,36.06
0,35.82
0,34.46
0,36.46
0,34.96
0,37.74
0,34.4
0,35.54
0,34.86
0,36.86
0,36.02
0,35.38
0,35.22
0,36.04
0,36.04
0,35.32
0,36.1
0,37.8
0,36.0
0,35.7
0,35.84
0,36.4
0,35.9
0,34.64
0,35.16
0,34.72
0,35.5
0,35.0
0,35.12
0,36.64
0,36.1
0,34.04
0,36.28
0,36.36
0,35.68
0,35.54
0,36.2
0,36.38
0,36.34
0,36.18
0,34.36
0,35.16
0,37.2
0,34.82
0,35.26
0,36.66
0,34.34
0,36.06
0,35.5
0,37.26
0,35.98
0,36.44
0,35.96
0,34.86
0,35.3
0,36.86
0,37.24
0,35.78
0,36.76
0,35.22
0,38.48
0,36.64
0,36.5
0,35.26
0,36.98
0,34.84
0,36.9
0,35.88
0,34.56
0,34.38
0,35.82
0,36.16
0,36.1
0,35.12
0,34.6
0,36.56
0,35.9
0,34.78
0,36.68
0,36.38
0,35.62
0,37.12
0,35.9
0,35.72
0,35.9
0,35.4
0,35.8
0,35.06
0,35.56
0,34.18
0,35.86
0,36.18
0,37.0
0,37.06
0,34.9
0,35.94
0,36.54
0,36.66
0,37.02
0,35.84
0,36.28
0,36.22
0,35.28
0,34.78
0,36.14
0,35.66
0,35.48
0,36.12
0,35.4
0,35.8
0,36.88
0,36.62
0,35.02
0,36.5
0,36.0
0,36.56
0,36.62
0,36.5
0,35.24
0,36.58
0,36.32
0,34.94
0,35.96
0,35.1
0,36.42
0,35.42
0,36.32
0,36.46
0,35.7
0,35.7
0,36.54
0,34.38
0,37.98
0,35.64
0,34.86
0,35.7
0,35.8
0,35.78
0,37.14
0,34.22
0,35.82
0,36.08
0,35.54
0,35.92
0,36.84
0,34.68
0,35.26
0,36.38
0,36.86
0,36.08
0,36.78
0,34.86
0,36.76
0,36.4
0,35.42
0,36.54
0,36.96
0,38.08
0,35.36
0,36.0
0,35.88
0,34.84
0,37.42
0,35.7
0,36.48
0,34.92
0,36.18
0,37.6
0,35.54
0,35.72
0,34.16
0,35.0
0,35.16
0,34.64
0,36.62
0,34.74
0,34.86
0,35.98
0,36.3
0,36.64
0,36.44
0,36.76
0,36.26
0,36.56
0,36.68
0,37.3
0,37.02
0,36.42
0,35.98
0,37.4
0,36.0
0,36.26
0,36.22
0,35.94
0,36.32
0,37.12
0,35.1
0,37.06
0,36.18
0,36.64
0,37.5
0,36.34
0,35.72
0,37.28
0,36.5
0,35.66
0,35.38
0,35.5
0,35.98
0,36.78
0,35.0
0,35.76
0,36.1
0,35.98
0,36.54
0,36.74
0,36.08
0,37.5
0,35.56
0,36.26
0,36.98
0,37.5
0,35.04
0,36.14
0,35.46
0,35.52
0,36.6
0,36.36
0,35.66
0,36.72
0,35.7
0,35.56
0,36.34
0,35.92
0,35.02
0,37.38
0,33.18
0,36.28
0,35.38
0,35.68
0,37.0
0,36.26
0,35.66
0,35.94
0,36.32
0,37.06
0,35.58
0,36.2
0,37.76
0,35.68
0,35.86
0,35.94
0,37.0
0,36.24
0,35.86
0,37.2
0,36.24
0,36.48
0,36.96
0,36.08
0,36.38
0,35.14
0,34.84
0,36.48
0,36.42
0,34.76
0,35.38
0,36.76
0,36.3
0,35.78
0,35.42
0,36.5
0,35.12
0,36.64
0,35.82
0,35.48
0,35.56
0,36.38
0,35.26
0,36.6
0,36.96
0,36.86
0,36.92
0,36.86
0,36.18
0,36.1
0,35.48
0,35.88
0,36.4
0,36.5
0,34.4
0,36.58
0,34.38
0,35.34
0,36.1
0,36.62
0,36.08
0,35.56
0,35.24
0,35.52
0,35.98
0,36.68
0,34.7
0,35.98
0,35.82
0,36.24
0,37.18
0,36.1
0,35.76
0,35.78
0,35.8
0,35.56
0,35.04
0,36.0
0,35.84
0,34.76
0,35.58
0,35.74
0,35.92
0,35.08
0,36.08
0,35.82
0,35.32
0,35.04
0,35.4
0,35.74
0,34.66
0,37.14
0,36.52
0,36.54
0,37.08
0,35.16
0,36.68
0,37.34
0,35.26
0,36.24
0,35.3
0,35.6
0,36.2
0,36.82
0,36.72
0,37.1
0,35.36
0,37.26
0,35.28
0,36.94
0,36.1
0,36.78
0,37.14
0,36.26
0,35.52
0,35.78
0,34.22
0,35.82
0,36.94
0,35.26
0,36.08
0,35.82
0,37.8
0,37.02
0,36.16
0,35.04
0,37.2
0,35.0
0,36.52
0,37.28
0,35.64
0,37.6
0,35.92
0,33.98
0,36.74
0,35.32
0,36.52
0,34.0
0,36.34
0,35.76
0,36.42
0,35.28
0,35.6
0,37.32
0,34.66
0,36.44
0,36.12
0,37.04
0,37.86
0,36.04
0,35.88
0,35.64
0,36.44
0,37.6
0,36.1
0,36.2
0,37.6
0,36.42
0,35.12
0,35.34
0,38.08
0,36.0
0,36.1
0,37.34
0,36.2
0,36.32
0,35.5
0,36.3
0,37.0
0,36.8
0,35.64
0,35.4
0,36.52
0,35.9
0,36.82
0,37.04
0,36.34
0,35.74
0,35.7
0,35.6
0,37.2
0,36.2
0,35.16
0,35.68
0,37.08
0,36.8
0,37.24
0,35.54
0,36.14
0,37.04
0,36.78
0,36.36
0,35.74
0,35.36
0,36.34
0,35.9
0,35.7
0,36.8
0,36.1
0,35.14
0,36.86
0,35.3
0,36.12
0,35.94
0,35.54
0,37.28
0,36.64
0,36.18
0,37.5
0,36.6
0,35.12
0,36.4
0,35.98
0,36.04
0,36.28
0,35.34
0,36.66
0,35.12
0,37.5
0,35.68
0,35.66
0,36.08
0,36.44
0,36.08
0,34.82
0,35.48
0,34.88
0,36.22
0,37.72
0,35.78
0,36.0
0,36.06
0,37.26
0,36.92
0,36.84
0,35.86
0,36.08
0,35.46
0,36.74
0,35.6
0,35.0
0,36.42
0,35.44
0,35.2
0,35.64
0,35.52
0,34.64
0,35.74
0,34.26
0,36.26
0,36.56
0,36.88
0,35.56
0,35.1
0,36.08
0,34.34
0,35.94
0,35.2
0,35.7
0,36.08
0,36.2
0,35.42
0,37.78
0,35.4
0,37.14
0,35.42
0,35.66
0,36.62
0,35.02
0,35.76
0,35.9
0,36.4
0,37.22
0,37.32
0,36.04
0,35.28
0,35.64
0,36.64
0,35.86
0,36.52
0,36.42
0,38.5
0,36.02
0,37.04
0,34.86
0,35.2
0,36.24
0,37.5
0,35.14
0,34.34
0,36.18
0,35.98
0,36.46
0,38.06
0,35.46
0,37.88
0,35.54
0,36.32
0,36.92
0,35.7
0,35.76
0,37.78
0,34.9
0,35.66
0,36.22
0,37.1
0,36.92
0,36.24
0,36.34
0,36.62
0,35.0
0,35.52
0,35.12
0,36.16
0,35.78
0,37.2
0,35.98
0,35.98
0,36.4
0,35.14
0,36.4
0,35.3
0,35.8
0,35.74
0,36.86
0,37.32
0,34.6
0,36.14
0,36.68
0,35.94
0,38.02
0,35.64
0,34.66
0,37.04
0,36.62
0,35.76
0,36.7
0,35.84
0,37.26
0,37.14
0,35.68
0,35.54
0,37.54
0,36.5
0,35.04
0,35.56
0,36.42
0,34.94
0,35.8
0,35.34
0,36.06
0,35.02
0,36.12
0,36.88
0,36.92
0,35.78
0,35.66
0,36.2
0,36.34
0,35.3
0,37.08
0,36.1
0,35.3
0,34.82
0,36.4
0,33.94
0,36.04
0,36.46
0,36.32
0,35.48
0,36.68
0,34.54
0,36.52
0,34.8
0,35.7
0,37.14
0,35.86
0,34.82
0,35.94
0,36.58
0,33.78
0,36.28
0,35.02
0,35.94
0,36.22
0,36.0
0,35.42
0,35.08
0,37.34
0,36.82
0,37.0
0,36.7
0,36.06
0,36.06
0,34.36
0,36.38
0,36.26
0,36.36
0,36.18
0,36.36
0,37.18
0,35.66
0,35.8
0,35.68
0,36.36
0,35.46
0,35.78
0,34.78
0,36.0
0,37.44
0,35.7
0,36.84
0,36.32
0,36.7
0,35.78
0,36.22
0,36.7
0,35.76
0,35.64
0,37.24
0,35.9
0,35.54
0,36.9
0,37.28
0,36.14
0,37.22
0,35.98
0,35.76
0,35.94
0,35.64
0,36.34
0,34.76
0,37.54
0,35.44
0,35.22
0,35.86
0,34.98
0,35.34
0,36.14
0,37.34
0,37.08
0,36.64
0,35.64
0,35.26
0,35.64
0,35.58
0,37.0
0,35.42
0,35.38
0,35.72
0,37.16
0,36.32
0,36.5
0,36.14
0,35.36
0,36.2
0,35.84
0,35.22
0,34.6
0,35.54
0,35.24
0,37.66
0,36.42
0,35.02
0,35.62
0,36.4
0,35.0
0,35.48
0,34.6
0,36.36
0,36.46
0,36.6
0,36.34
0,35.38
0,37.56
0,36.76
0,36.7
0,36.26
0,35.24
0,35.86
0,36.22
0,36.46
0,35.84
0,37.36
0,36.98
0,36.84
0,35.74
0,36.4
0,36.2
0,36.68
0,37.38
0,34.88
0,35.46
0,35.34
0,35.32
0,35.68
0,36.32
0,35.88
0,35.58
0,36.16
0,34.88
0,36.9
0,36.1
0,35.48
0,36.12
0,36.4
0,35.5
0,35.68
0,35.36
0,35.3
0,35.8
0,34.98
0,35.96
0,35.6
0,36.64
0,36.2
0,37.38
0,37.62
0,36.66
0,36.02
0,34.66
0,35.32
0,35.9
0,36.06
0,36.74
0,35.52
0,37.18
0,35.44
0,35.36
0,37.42
0,36.04
0,36.18
0,37.16
0,36.56
0,35.02
0,36.0
0,35.58
0,34.6
0,36.78
0,35.22
0,34.52
0,35.18
0,35.4
0,36.2
0,35.94
0,36.46
0,35.72
0,36.54
0,36.38
0,37.12
0,35.18
0,35.58
0,36.08
0,36.74
0,36.24
0,34.48
0,36.1
0,36.64
0,35.7
0,35.16
0,35.36
0,35.9
0,35.46
0,36.52
0,36.98
0,36.32
0,36.96
0,34.74
0,36.64
0,36.4
0,35.56
0,38.82
0,35.38
0,37.16
0,35.98
0,34.7
0,36.3
0,35.54
0,36.42
0,36.22
0,36.8
0,36.68
0,35.3
0,36.36
0,37.06
0,37.84
0,36.1
0,36.18
0,37.06
0,35.9
0,35.66
0,35.34
0,35.78
0,35.6
0,36.12
0,37.82
0,36.12
0,37.52
0,36.32
0,35.44
0,36.54
0,35.56
0,36.2
0,34.82
0,35.7
0,35.94
0,36.82
0,37.64
0,35.68
0,37.52
0,35.66
0,35.46
0,34.64
0,36.92
0,35.26
0,36.2
0,35.2
0,36.52
0,35.04
0,37.04
0,36.04
0,37.78
0,36.62
0,35.06
0,36.42
0,36.18
0,34.64
0,35.64
0,35.74
0,36.0
0,36.92
0,35.2
0,36.46
0,36.76
0,35.94
0,35.94
0,36.94
0,35.98
0,35.48
0,36.08
0,36.38
0,34.54
0,36.76
0,35.6
0,35.42
0,35.52
0,36.9
0,35.62
0,36.24
0,35.52
0,36.5
0,36.34
0,36.26
0,37.3
0,35.72
0,35.6
0,34.56
0,35.96
0,36.26
0,36.02
0,36.4
0,36.06
0,36.76
0,36.48
0,35.12
0,33.86
0,36.3
0,35.88
0,35.28
0,36.5
0,35.8
0,37.2
0,35.6
0,36.38
0,34.92
0,35.78
0,36.34
0,35.14
0,35.08
0,34.6
0,36.44
0,35.76
0,35.44
0,35.76
0,36.28
0,35.2
0,35.98
0,35.84
0,35.24
0,35.14
0,36.18
0,36.74
0,34.44
0,36.02
0,35.8
0,36.62
0,36.28
0,36.76
0,35.74
0,36.88
0,37.36
0,35.68
0,36.0
0,35.78
0,36.48
0,36.64
0,35.08
0,36.02
0,36.58
0,36.34
0,35.58
0,35.48
0,35.86
0,36.04
0,37.16
0,37.22
0,35.72
0,35.42
0,37.8
0,36.2
0,35.92
0,37.4
0,35.58
0,36.42
0,35.54
0,36.86
0,35.4
0,35.2
0,35.28
0,37.24
0,35.72
0,34.92
0,36.42
0,35.7
0,35.08
0,37.0
0,35.0
0,35.98
0,37.46
0,37.12
0,35.52
0,35.96
0,36.26
0,36.86
0,36.44
0,36.08
0,35.12
0,35.52
0,36.14
0,36.36
0,36.4
0,34.62
0,35.36
0,35.74
0,35.96
0,36.64
0,36.28
0,35.48
0,36.86
0,35.54
0,35.52
0,35.3
0,35.26
0,36.48
0,35.32
0,36.2
0,35.5
0,35.72
0,36.86
0,36.58
0,34.88
0,35.56
0,35.24
0,36.16
0,35.78
0,37.64
0,36.28
0,36.14
0,37.82
0,36.26
0,35.2
0,35.56
0,36.38
0,36.14
0,36.8
0,36.02
0,35.36
0,34.82
0,37.98
0,35.86
0,35.18
0,35.02
0,36.52
0,35.04
0,35.14
0,34.58
0,36.48
0,36.58
0,37.1
0,34.78
0,35.9
0,35.14
0,36.2
0,36.66
0,34.72
0,36.06
0,34.8
0,36.2
0,36.34
0,36.36
0,34.06
0,35.72
0,34.88
0,35.6
0,36.84
0,36.62
0,35.78
0,35.38
0,36.54
0,36.5
0,35.1
0,36.2
0,37.38
0,35.7
0,35.22
0,37.02
0,37.32
0,36.04
0,35.8
0,35.84
0,33.66
0,36.14
0,35.28
0,35.98
0,34.64
0,35.0
0,36.0
0,35.62
0,35.22
0,35.52
0,37.22
0,33.84
0,37.54
0,34.94
0,35.88
0,35.96
0,36.5
0,37.58
0,35.52
0,35.7
0,35.96
0,35.74
0,35.94
0,35.72
0,35.1
0,36.1
0,36.46
0,36.1
0,36.8
0,35.26
0,36.54
0,35.56
0,35.62
0,36.6
0,36.78
0,34.94
0,36.66
0,36.62
0,36.16
0,36.66
0,35.5
0,36.06
0,36.58
0,35.72
0,37.0
0,36.72
0,35.94
0,36.18
0,35.76
0,34.92
0,36.9
0,35.92
0,36.22
0,35.74
0,35.38
0,35.64
0,36.28
0,36.18
0,36.62
0,37.38
0,36.84
0,36.84
0,36.08
0,35.64
0,34.6
0,35.92
0,35.02
0,35.16
0,35.18
0,35.84
0,36.18
0,36.42
0,35.24
0,36.9
0,35.9
0,35.1
0,35.18
0,36.0
0,35.44
0,36.52
0,35.36
0,34.56
0,36.94
0,35.74
0,36.34
0,37.08
0,36.48
0,35.0
